task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
bostonHousing,bostonHousing,0,XGBoost_DSTL_BASE,0.9325317583812016,0.8396535193732014,0.056427001953125,0.0030851364135742188,0.7713308334350586,0.056427001953125,0.0030851364135742188,0.7713308334350586,1,True,21,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,XGBoost_BAG_L1,0.9122127990316613,0.8724254975664869,2.1488640308380127,0.0971076488494873,35.62273144721985,2.1488640308380127,0.0971076488494873,35.62273144721985,1,True,8,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,NeuralNetMXNet_BAG_L1,0.9092269011209413,0.893941549524162,0.723726749420166,0.4074418544769287,93.82675290107727,0.723726749420166,0.4074418544769287,93.82675290107727,1,True,9,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,WeightedEnsemble_L2,0.9079408162029057,0.9020124399306814,1.4107093811035156,0.6415700912475586,319.52162981033325,0.00541996955871582,0.0004088878631591797,0.3428359031677246,2,True,11,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,CatBoost_DSTL_BASE,0.9011736442661744,0.8533146176695774,0.0025708675384521484,0.0018160343170166016,1.159148931503296,0.0025708675384521484,0.0018160343170166016,1.159148931503296,1,True,19,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,WeightedEnsemble_L2_DSTL_BASE,0.8978356558752443,0.8584327829635853,0.06855964660644531,0.00840139389038086,4.1066296100616455,0.003577709197998047,0.0004398822784423828,0.22037100791931152,2,True,23,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,CatBoost_BAG_L1,0.8931381404893244,0.8901724568189957,0.11066389083862305,0.05382037162780762,79.11984968185425,0.11066389083862305,0.05382037162780762,79.11984968185425,1,True,7,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,RandomForest_DSTL_BASE,0.8778760670672014,0.8240281041443238,0.03512096405029297,0.027497053146362305,0.3766777515411377,0.03512096405029297,0.027497053146362305,0.3766777515411377,1,True,20,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,RandomForestMSE_BAG_L1,0.8741387580915528,0.8533387008407933,1.462120771408081,1.0094914436340332,13.805536270141602,1.462120771408081,1.0094914436340332,13.805536270141602,1,True,1,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,XGBoost_DSTL_KNOW,0.8704028469481142,0.8563685895238483,0.08981585502624512,0.003595113754272461,1.4024467468261719,0.08981585502624512,0.003595113754272461,1.4024467468261719,1,True,15,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,WeightedEnsemble_L2_DSTL_KNOW,0.8660993894363633,0.8589317621223072,0.10228872299194336,0.0068509578704833984,4.015491724014282,0.0039539337158203125,0.00041604042053222656,0.22770380973815918,2,True,17,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,CatBoost_DSTL_KNOW,0.8655989211620794,0.8411726206297687,0.0026428699493408203,0.001956939697265625,1.429260015487671,0.0026428699493408203,0.001956939697265625,1.429260015487671,1,True,13,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,LightGBMLarge_BAG_L1,0.8642405401163381,0.8690104698017125,0.45891714096069336,0.08736991882324219,121.4075939655304,0.45891714096069336,0.08736991882324219,121.4075939655304,1,True,10,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,ExtraTreesMSE_BAG_L1,0.8610883477727168,0.8833862572757613,2.273061752319336,1.021507978439331,10.294643878936768,2.273061752319336,1.021507978439331,10.294643878936768,1,True,2,2021-03-17 20:43:01.844083
bostonHousing,bostonHousing,0,RandomForest_DSTL_KNOW,0.8542178517679141,0.7919937997625117,0.04306674003601074,0.0358119010925293,0.38185906410217285,0.04306674003601074,0.0358119010925293,0.38185906410217285,1,True,14,2021-03-17 20:43:01.844083
