task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
7593,covertype,3,WeightedEnsemble_L2,0.9731329925474604,0.9709855023130131,12.66224455833435,10.586469888687134,214.3027572631836,0.01727581024169922,0.04993176460266113,43.79023885726929,2,True,4,2021-03-24 20:32:52.315406
7593,covertype,3,KNeighborsDist_BAG_L1,0.9727715529853187,0.9704156156592614,5.844854831695557,4.460436105728149,13.767040967941284,5.844854831695557,4.460436105728149,13.767040967941284,1,True,2,2021-03-24 20:32:52.315406
7593,covertype,3,KNeighborsUnif_BAG_L1,0.9717044457066143,0.9690061979954524,5.329540014266968,4.568087577819824,13.658958673477173,5.329540014266968,4.568087577819824,13.658958673477173,1,True,1,2021-03-24 20:32:52.315406
7593,covertype,3,LightGBM_DSTL_BASE,0.8824460852653139,0.877246653919694,2.2325263023376465,0.21848511695861816,240.51096105575562,2.2325263023376465,0.21848511695861816,240.51096105575562,1,True,7,2021-03-24 20:32:52.315406
7593,covertype,3,WeightedEnsemble_L2_DSTL_BASE,0.8824460852653139,0.877246653919694,2.2366554737091064,0.22092127799987793,240.51764011383057,0.004129171371459961,0.0024361610412597656,0.006679058074951172,2,True,8,2021-03-24 20:32:52.315406
7593,covertype,3,LightGBM_DSTL_KNOW,0.8738748042202372,0.8676864244741874,2.309378147125244,0.22669291496276855,240.55359721183777,2.309378147125244,0.22669291496276855,240.55359721183777,1,True,5,2021-03-24 20:32:52.315406
7593,covertype,3,WeightedEnsemble_L2_DSTL_KNOW,0.8738748042202372,0.8676864244741874,2.3137972354888916,0.2292461395263672,240.56018829345703,0.004419088363647461,0.002553224563598633,0.006591081619262695,2,True,6,2021-03-24 20:32:52.315406
7593,covertype,3,LightGBM_BAG_L1,0.8562675341216158,0.8532140268611675,6.800113916397095,6.076102018356323,156.74547743797302,6.800113916397095,6.076102018356323,156.74547743797302,1,True,3,2021-03-24 20:32:52.315406
7593,covertype,4,KNeighborsDist_BAG_L1,0.9721691537150824,0.9706451002178191,5.8376171588897705,4.394607782363892,13.961618185043335,5.8376171588897705,4.394607782363892,13.961618185043335,1,True,2,2021-03-24 21:07:48.663292
7593,covertype,4,WeightedEnsemble_L2,0.9721519423073613,0.9709855023130131,12.75013518333435,10.517297983169556,212.85594964027405,0.019713163375854492,0.0498201847076416,43.62239480018616,2,True,4,2021-03-24 21:07:48.663292
7593,covertype,4,KNeighborsUnif_BAG_L1,0.9708266639128414,0.9691783114143707,5.7950661182403564,4.5730390548706055,14.007186889648438,5.7950661182403564,4.5730390548706055,14.007186889648438,1,True,1,2021-03-24 21:07:48.663292
